Packdatum;Filialen;Bereich;;;;;
2018-07-10;117;DPS;;;;;
2018-07-11;157;DPS;;;;;
2018-07-12;146;DPS;;;;;
2018-07-13;148;DPS;;;;;
2018-07-14;2;DPS;;;;;
2018-07-16;104;DPS;;;;;
2018-07-17;152;DPS;;;;;
2018-07-18;110;DPS;;;;;
2018-07-19;91;DPS;;;;;
2018-07-20;105;DPS;;;;;
2018-07-23;101;DPS;;;;;
2018-07-24;151;DPS;;;;;
2018-07-25;159;DPS;;;;;
2018-07-26;83;DPS;;;;;
2018-07-27;108;DPS;;;;;
2018-07-28;3;DPS;;;;;
2018-07-30;84;DPS;;;;;
2018-07-31;47;DPS;;;;;
2018-08-01;46;DPS;;;;;
2018-08-02;89;DPS;;;;;
2018-08-03;51;DPS;;;;;
2018-08-04;1;DPS;;;;;
2018-08-06;84;DPS;;;;;
2018-08-07;80;DPS;;;;;
2018-08-08;97;DPS;;;;;
2018-08-09;41;DPS;;;;;
2018-08-10;62;DPS;;;;;
2018-08-11;12;DPS;;;;;
2018-08-12;21;DPS;;;;;
2018-08-13;88;DPS;;;;;
2018-08-14;80;DPS;;;;;
2018-08-15;87;DPS;;;;;
2018-08-16;51;DPS;;;;;
2018-08-17;67;DPS;;;;;
2018-08-20;85;DPS;;;;;
2018-08-21;82;DPS;;;;;
2018-08-22;151;DPS;;;;;
2018-08-23;87;DPS;;;;;
2018-08-24;62;DPS;;;;;
2018-08-25;5;DPS;;;;;
2018-08-27;82;DPS;;;;;
2018-08-28;48;DPS;;;;;
2018-08-29;45;DPS;;;;;
2018-08-30;43;DPS;;;;;
2018-08-31;59;DPS;;;;;
2018-09-01;1;DPS;;;;;
2018-09-03;80;DPS;;;;;
2018-09-04;76;DPS;;;;;
2018-09-05;78;DPS;;;;;
2018-09-06;89;DPS;;;;;
2018-09-07;97;DPS;;;;;
2018-09-09;24;DPS;;;;;
2018-09-10;81;DPS;;;;;
2018-09-11;85;DPS;;;;;
2018-09-12;41;DPS;;;;;
2018-09-13;96;DPS;;;;;
2018-09-14;105;DPS;;;;;
2018-09-15;2;DPS;;;;;
2018-09-17;103;DPS;;;;;
2018-09-18;113;DPS;;;;;
2018-09-19;99;DPS;;;;;
2018-09-20;47;DPS;;;;;
2018-09-21;100;DPS;;;;;
2018-09-24;81;DPS;;;;;
2018-09-25;80;DPS;;;;;
2018-09-26;77;DPS;;;;;
2018-09-27;88;DPS;;;;;
2018-09-28;87;DPS;;;;;
2018-09-29;11;DPS;;;;;
2018-10-01;92;DPS;;;;;
2018-10-02;99;DPS;;;;;
2018-10-04;100;DPS;;;;;
2018-10-05;84;DPS;;;;;
2018-10-06;62;DPS;;;;;
2018-10-08;129;DPS;;;;;
