Datum;VPE_Gesamt;Komm_VPE;Voll;Displays;Lager
2015-04-25;6534;6525;9;0;MAN
2015-04-25;7512;7512;0;0;MPS
2015-04-27;82032;80478;1554;0;DPS
2015-04-27;14288;13956;332;0;MAN
2015-04-27;18482;18408;74;0;MPS
2015-04-28;55373;53726;1647;0;DPS
2015-04-28;9956;9886;70;0;MAN
2015-04-28;14341;14341;0;0;MPS
2015-04-29;59674;56695;2979;0;DPS
2015-04-29;12143;12015;128;0;MAN
2015-04-29;16560;15258;1301;1;MPS
2015-04-30;61724;60502;1222;0;DPS
2015-04-30;13167;11138;2029;0;MAN
2015-04-30;16243;16236;5;2;MPS
2015-05-01;18119;17603;516;0;DPS
2015-05-01;2271;2268;3;0;MAN
2015-05-01;3960;3960;0;0;MPS
2015-05-02;13924;13770;154;0;DPS
2015-05-02;2855;2852;3;0;MAN
2015-05-02;3682;3682;0;0;MPS
2015-05-04;79848;78769;1079;0;DPS
2015-05-04;14275;14254;21;0;MAN
2015-05-04;20051;20051;0;0;MPS
2015-05-05;81910;80587;1323;0;DPS
2015-05-05;13092;13051;41;0;MAN
2015-05-05;18873;18873;0;0;MPS
2015-05-06;66046;64658;1388;0;DPS
2015-05-06;10932;10917;15;0;MAN
2015-05-06;13735;13456;279;0;MPS
2015-05-07;79573;77966;1607;0;DPS
2015-05-07;14554;14497;57;0;MAN
2015-05-07;17817;17817;0;0;MPS
2015-05-08;62068;60790;1278;0;DPS
2015-05-08;11798;11593;205;0;MAN
2015-05-08;14248;14245;3;0;MPS
2015-05-09;31271;30574;697;0;DPS
2015-05-09;6300;6019;281;0;MAN
2015-05-09;8005;8003;2;0;MPS
2015-05-11;78196;77207;989;0;DPS
2015-05-11;14015;13398;617;0;MAN
2015-05-11;17240;17240;0;0;MPS
2015-05-12;54101;53152;949;0;DPS
2015-05-12;10670;9985;685;0;MAN
2015-05-12;14912;13247;1665;0;MPS
2015-05-13;64756;63841;915;0;DPS
2015-05-13;11926;11889;37;0;MAN
2015-05-13;16318;15490;828;0;MPS
2015-05-15;66077;65085;992;0;DPS
2015-05-15;11212;11184;28;0;MAN
2015-05-15;14211;14210;1;0;MPS
2015-05-16;63739;62675;1064;0;DPS
2015-05-16;11491;11410;81;0;MAN
2015-05-16;15632;15632;0;0;MPS
2015-05-18;69145;68196;949;0;DPS
2015-05-18;11800;11145;655;0;MAN
2015-05-18;17917;17851;66;0;MPS
2015-05-19;61285;60409;876;0;DPS
2015-05-19;15055;10775;4280;0;MAN
2015-05-19;17349;17349;0;0;MPS
2015-05-20;62738;61667;1071;0;DPS
2015-05-20;16694;12249;4445;0;MAN
2015-05-20;16249;16248;0;1;MPS
2015-05-21;73012;71593;1419;0;DPS
2015-05-21;15365;14674;691;0;MAN
2015-05-21;20090;20088;2;0;MPS
2015-05-22;60363;58908;1455;0;DPS
2015-05-22;13044;12039;1005;0;MAN
2015-05-22;15895;15781;114;0;MPS
2015-05-23;34882;34072;810;0;DPS
2015-05-23;6489;6395;94;0;MAN
2015-05-23;7524;7523;1;0;MPS
2015-05-26;71878;69751;2127;0;DPS
2015-05-26;14318;14200;118;0;MAN
2015-05-26;18159;18159;0;0;MPS
